"업체명","기관케이스수","기관목록","상태목록","추정원인"
"의왕베이스볼아카데미(체납)_비협조","1","소상공인시장진흥공단","시작 전","밑줄(_) 메모"
"이안서가중고등","1","중소벤처기업진흥공단","부결","기업목록에 없음/표기불일치"
"이엔에프에너지(재도전특별자금)","1","소상공인시장진흥공단","상담/진단완료","이름에 메모 섞임"
"제로디톡스(소진공 저신용)","1","소상공인시장진흥공단","상담/진단완료","기업목록에 없음/표기불일치"
"제천한약영농조합법인","1","중소벤처기업진흥공단","부결","기업목록에 없음/표기불일치"
"주)123에프앤비","1","신용보증재단","부결","법인 표기 차이((주)/주)…)"
"주)cbsc / 교육 이수 후 접수 완료","1","소상공인시장진흥공단","상담/진단완료","구분자(- /) 뒤 메모"
"주식회사 와이에스푸드 ( 다미설 법인 )_1억조달완료","1","중소벤처기업진흥공단","완료","밑줄(_) 메모"
"지원중기","1","소상공인시장진흥공단","부결","기업목록에 없음/표기불일치"
"지원중기 4월초 다시확인 (연체 8백)","1","소상공인시장진흥공단","상담/진단완료","이름에 메모 섞임"
"지환2태양광발전소","1","소상공인시장진흥공단","시작 전","기업목록에 없음/표기불일치"
"지환2태양광발전소(올타임커피)(3/5국세지방세체납없음)","1","소상공인시장진흥공단","시작 전","이름에 메모 섞임"
"찡어맨 ( 재도전 상환연장은 다음달에 진횅 )","1","소상공인시장진흥공단","상담/진단완료","이름에 메모 섞임"
"찡어맨(지방세 체납 )","1","소상공인시장진흥공단","자금집행완료","기업목록에 없음/표기불일치"
"천하종합상사 / 교육 이수 후 접수 완료","1","소상공인시장진흥공단","시작 전","구분자(- /) 뒤 메모"
"천하종합상사(체납)","1","소상공인시장진흥공단","자금집행완료","기업목록에 없음/표기불일치"
"청용주유소( 동안주유소 내용동일)","1","소상공인시장진흥공단","시작 전","기업목록에 없음/표기불일치"
"청풍발리호텔(키오스크 계약서 요청, 설치후 철수 인정서밖에 없음)","1","소상공인시장진흥공단","부결","이름에 메모 섞임"
"츄맥 ( 오픈초기 정신없어서 잠수 )","1","소상공인시장진흥공단","시작 전","기업목록에 없음/표기불일치"
"츄맥 ( 잠수 )","1","소상공인시장진흥공단","시작 전","기업목록에 없음/표기불일치"
"쿡솜씨협동조합 / 교육 이수 후 접수 완료","1","소상공인시장진흥공단","상담/진단완료","구분자(- /) 뒤 메모"
"타와이3133","1","소상공인시장진흥공단","완료","기업목록에 없음/표기불일치"
"타와이3133 (엘에스에너지)","1","소상공인시장진흥공단","상담/진단완료","기업목록에 없음/표기불일치"
"티와이3133","1","신용보증재단","부결","기업목록에 없음/표기불일치"
"파이브투_재단 부결 및 저신용 3천 받으심 비협조로 방치중","1","소상공인시장진흥공단","시작 전","밑줄(_) 메모"
"푸드닥터 채육식당 성수점","1","소상공인시장진흥공단","시작 전","기업목록에 없음/표기불일치"
"풍짬 (2월 스마트 기기)","1","소상공인시장진흥공단","자금집행완료","기업목록에 없음/표기불일치"
"풍짬(3/5국세지방세 체납없음)","1","소상공인시장진흥공단","시작 전","구분자(- /) 뒤 메모"
"피치플레이_AI 스마트 자판기, S/W","1","소상공인시장진흥공단","부결","밑줄(_) 메모"
"피치플레이(소진공 신청이력없음 )","1","소상공인시장진흥공단","상담/진단완료","이름에 메모 섞임"
"피치플레이(혁신성장 스마트기술)","1","소상공인시장진흥공단","상담/진단완료","기업목록에 없음/표기불일치"
"하은운송(3/6국세지방세체납없음)","1","소상공인시장진흥공단","시작 전","이름에 메모 섞임"
"한국가스켓","1","소상공인시장진흥공단","시작 전","기업목록에 없음/표기불일치"
"헤움 ( 집중관리기업 3회차 납부 확인후 신청 )","1","소상공인시장진흥공단","시작 전","기업목록에 없음/표기불일치"
"호산이엔티","1","중소벤처기업진흥공단","시작 전","기업목록에 없음/표기불일치"
